symbol,name,exchange,index,isin
0289.KL,PLYTEC HOLDING BERHAD,XKLS,,
0290.KL,PANDA ECO SYSTEM BERHAD,XKLS,,
0291.KL,CRITICAL HOLDINGS BERHAD,XKLS,,
0292.KL,JATI TINGGI GROUP BERHAD,XKLS,,
0293.KL,KJTS GROUP BERHAD,XKLS,,
0295.KL,MASTER TEC GROUP BERHAD,XKLS,,
0296.KL,HE GROUP BERHAD,XKLS,,
0297.KL,TSA GROUP BERHAD,XKLS,,
0298.KL,WENTEL ENGINEERING HOLDINGS BERHAD,XKLS,,
0299.KL,AGX GROUP BERHAD,XKLS,,
0300.KL,SBH MARINE HOLDINGS BERHAD,XKLS,,
0301.KL,ZANTAT HOLDINGS BERHAD,XKLS,,
0302.KL,TOPMIX BERHAD,XKLS,,
0303.KL,ALPHA IVF GROUP BERHAD,XKLS,,
0304.KL,FARM PRICE HOLDINGS BERHAD,XKLS,,
0305.KL,SIN-KUNG LOGISTICS BERHAD,XKLS,,
0306.KL,SMART ASIA CHEMICAL BHD,XKLS,,
0307.KL,KAWAN RENERGY BERHAD,XKLS,,
0308.KL,KTI LANDMARK BERHAD,XKLS,,
0309.KL,AGRICORE CS HOLDINGS BERHAD,XKLS,,
0310.KL,UUE HOLDINGS BERHAD,XKLS,,
0311.KL,GO HUB CAPITAL BERHAD,XKLS,,
0312.KL,OCEAN FRESH BERHAD,XKLS,,
0313.KL,BWYS GROUP BERHAD,XKLS,,
0315.KL,KUCINGKO BERHAD,XKLS,,
0316.KL,SIK CHEONG BERHAD,XKLS,,
0317.KL,EPB GROUP BERHAD,XKLS,,
0318.KL,ELRIDGE ENERGY HOLDINGS BERHAD,XKLS,,
0319.KL,VETECE HOLDINGS BERHAD,XKLS,,
0320.KL,STEEL HAWK BERHAD,XKLS,,
0321.KL,SOLAR DISTRICT COOLING GROUP BERHAD,XKLS,,
0322.KL,KHPT HOLDINGS BERHAD,XKLS,,
0323.KL,CREST GROUP BERHAD,XKLS,,
0325.KL,NORTHEAST GROUP BERHAD,XKLS,,
0326.KL,SORENTO CAPITAL BERHAD,XKLS,,
0327.KL,OB HOLDINGS BERHAD,XKLS,,
0328.KL,3REN BERHAD,XKLS,,
0329.KL,METRO HEALTHCARE BERHAD,XKLS,,
0330.KL,SUPREME CONSOLIDATED RESOURCES BHD,XKLS,,
0331.KL,CROPMATE BERHAD,XKLS,,
0332.KL,TOPVISION EYE SPECIALIST BERHAD,XKLS,,
0333.KL,VANZO HOLDINGS BERHAD,XKLS,,
0335.KL,CARLO RINO GROUP BERHAD,XKLS,,
0336.KL,WINSTAR CAPITAL BERHAD,XKLS,,
0337.KL,SWIFT ENERGY TECHNOLOGY BERHAD,XKLS,,
0338.KL,ORIENTAL KOPI HOLDINGS BERHAD,XKLS,,
0339.KL,CBH ENGINEERING HOLDING BERHAD,XKLS,,
0340.KL,NORTHERN SOLAR HOLDINGS BERHAD,XKLS,,
0341.KL,COLFORM GROUP BERHAD,XKLS,,
0342.KL,RICHTECH DIGITAL BERHAD,XKLS,,
0343.KL,TECHSTORE BERHAD,XKLS,,
0345.KL,ES SUNLOGY BERHAD,XKLS,,
0346.KL,SALIRAN GROUP BERHAD,XKLS,,
0347.KL,WAWASAN DENGKIL HOLDINGS BERHAD,XKLS,,
0348.KL,CHEMLITE INNOVATION BERHAD,XKLS,,
0349.KL,SUMISAUJANA GROUP BERHAD,XKLS,,
0350.KL,MSB GLOBAL GROUP BERHAD,XKLS,,
